customer_id,employee_id,product_id,purchase_date,purchase_id,quantity,total_price
1,1,1,2024-01-01 10:30:00,1,1,1200.0
2,2,2,2024-01-02 11:15:00,2,2,1600.0
3,3,3,2024-01-03 14:20:00,3,1,150.0
4,4,4,2024-01-04 16:45:00,4,3,1500.0
5,5,5,2024-01-05 09:10:00,5,1,200.0
6,6,6,2024-01-06 12:30:00,6,4,200.0
7,1,7,2024-01-07 18:40:00,7,2,240.0
8,2,8,2024-01-08 15:55:00,8,1,90.0
9,3,9,2024-01-09 10:25:00,9,2,800.0
10,4,10,2024-01-10 17:15:00,10,1,300.0
11,5,1,2024-01-11 14:50:00,11,1,1200.0
12,6,2,2024-01-12 13:05:00,12,3,2400.0
13,1,3,2024-01-13 11:35:00,13,2,300.0
14,2,4,2024-01-14 09:45:00,14,1,500.0
15,3,5,2024-01-15 16:00:00,15,5,1000.0
16,4,6,2024-01-16 08:20:00,16,3,150.0
17,5,7,2024-01-17 12:45:00,17,4,480.0
18,6,8,2024-01-18 10:15:00,18,1,90.0
19,1,9,2024-01-19 14:10:00,19,1,400.0
20,2,10,2024-01-20 17:35:00,20,2,600.0
21,3,1,2024-01-21 19:10:00,21,2,2400.0
22,4,2,2024-01-22 08:55:00,22,1,800.0
23,5,3,2024-01-23 13:50:00,23,3,450.0
24,6,4,2024-01-24 10:30:00,24,2,1000.0
25,1,5,2024-01-25 16:45:00,25,1,200.0
26,2,6,2024-01-26 09:30:00,26,4,200.0
27,3,7,2024-01-27 12:15:00,27,3,360.0
28,4,8,2024-01-28 11:40:00,28,2,180.0
29,5,9,2024-01-29 15:25:00,29,1,400.0
30,6,10,2024-01-30 17:50:00,30,1,300.0
1,1,1,2024-01-01 10:30:00,31,1,1200.0
2,2,2,2024-01-02 11:15:00,32,2,1600.0
3,3,3,2024-01-03 14:20:00,33,1,150.0
4,4,4,2024-01-04 16:45:00,34,3,1500.0
5,5,5,2024-01-05 09:10:00,35,1,200.0
6,6,6,2024-01-06 12:30:00,36,4,200.0
7,1,7,2024-01-07 18:40:00,37,2,240.0
8,2,8,2024-01-08 15:55:00,38,1,90.0
9,3,9,2024-01-09 10:25:00,39,2,800.0
10,4,10,2024-01-10 17:15:00,40,1,300.0
11,5,1,2024-01-11 14:50:00,41,2,2400.0
12,6,2,2024-01-12 13:05:00,42,3,2400.0
13,1,3,2024-01-13 11:35:00,43,2,300.0
14,2,4,2024-01-14 09:45:00,44,1,500.0
15,3,5,2024-01-15 16:00:00,45,5,1000.0
16,4,6,2024-01-16 08:20:00,46,3,150.0
17,5,7,2024-01-17 12:45:00,47,4,480.0
18,6,8,2024-01-18 10:15:00,48,1,90.0
19,1,9,2024-01-19 14:10:00,49,1,400.0
20,2,10,2024-01-20 17:35:00,50,2,600.0
21,3,1,2024-01-21 19:10:00,51,2,2400.0
22,4,2,2024-01-22 08:55:00,52,1,800.0
23,5,3,2024-01-23 13:50:00,53,3,450.0
24,6,4,2024-01-24 10:30:00,54,2,1000.0
25,1,5,2024-01-25 16:45:00,55,1,200.0
26,2,6,2024-01-26 09:30:00,56,4,200.0
27,3,7,2024-01-27 12:15:00,57,3,360.0
28,4,8,2024-01-28 11:40:00,58,2,180.0
